date,open,high,low,close,volume,rsi_7,rsi_14,cci_7,cci_14,sma_50,ema_50,sma_100,ema_100,macd,bollinger,TrueRange,atr_7,atr_14,next_day_close
2014-01-02,54.830002,55.220001,54.189999,54.709999,43195500,51.91747490928916,58.07782165609288,-64.31211744142045,-13.517100727418203,50.28180016,50.74094592520254,47.66540003,46.91455502781094,1.8289010075937142,53.24499995,1.0300020000000032,1.6520519926192758,1.7107388679338764,54.560001
2014-01-03,55.02,55.650002,54.529999,54.560001,38246200,50.604988010831725,57.387621858789075,-40.05473436508487,-17.36124649671576,50.319400179999995,50.89071857732972,47.828800030000004,47.0668973927577,1.6879873422980651,53.54200005,1.120003000000004,1.5760449936736656,1.6685434485136734,57.200001
2014-01-06,54.419998,57.259998,54.049999,57.200001,68852600,67.4839170163327,65.22152481708235,43.90774929670349,42.364730313041164,50.42540016,51.13815060205906,48.030600039999996,47.26878354922482,1.7689468649960887,53.9850001,3.2099990000000034,1.8094669945774282,1.7786474171604358,57.919998
2014-01-07,57.700001,58.549999,57.220001,57.919998,77207400,70.67258383779912,67.00318891579626,150.6201355077805,117.88698037124702,50.53480009999999,51.40411488735818,48.2433,47.4809664805177,1.8696534098002786,54.484000050000006,1.3499979999999994,1.7438285667806528,1.748029601472496,58.23
2014-01-08,57.599998,58.41,57.23,58.23,56682400,72.04942023683981,67.76880352451052,107.79594209360243,101.41519157769896,50.66040008,51.671805829050356,48.45999999,47.69507258164939,1.951977461530916,54.95350005,1.1799999999999997,1.6632816286691308,1.7074560582930152,57.220001
2014-01-09,58.650002,58.959999,56.650002,57.220001,92253300,61.13924244769456,62.66705922592217,67.3488913945634,72.50646583521123,50.800200100000005,51.889389273496796,48.661399980000006,47.88477404708252,1.9136618844336155,55.3020001,2.3099970000000027,1.7556695388592554,1.750494697200271,57.939999
2014-01-10,57.130001,58.299999,57.060001,57.939999,42449500,65.48589644646376,64.70679981826547,56.1487656278113,68.89757208971191,50.97100004,52.12667559183863,48.86269996,48.085014170604396,1.9192701827725571,55.73,1.239998,1.682002176165076,1.714030647231972,55.91
2014-01-13,57.91,58.25,55.380001,55.91,63010900,47.872555458523124,55.49970475056566,-32.37493815798259,0.49486250528766496,51.109000079999994,52.27504576391818,49.03769996,48.24082376975711,1.7398548819675241,55.9339999,2.869999,1.8517160081414938,1.7965998156406655,57.740002
2014-01-14,56.459999,57.779999,56.099998,57.740002,37503600,59.366739949143984,60.9007908748429,-11.11899530718755,38.26030208449478,51.25960014,52.489364030953745,49.23189998,48.42994879227438,1.725442997807889,56.15500000000001,1.869999,1.8543278641212804,1.8018426145443374,57.599998
2014-01-15,57.98,58.57,57.27,57.599998,33663400,58.22089391196275,60.29782405666082,47.470053343417035,71.42164079823148,51.416600100000004,52.68978667190139,49.422399969999994,48.61250133144574,1.683320057265135,56.34449985,1.2999999999999972,1.7751381692468111,1.765996713373006,57.189999
2014-01-16,57.259998,58.02,56.830002,57.189999,34541800,54.61911642075945,58.47205486708582,-20.009635661365902,48.98043084032699,51.596000059999994,52.86627034355477,49.58879997,48.783239652509145,1.5984281459760297,56.46099975,1.1899980000000028,1.691546716497267,1.724853947990914,56.299999
2014-01-17,57.299999,57.82,56.07,56.299999,40849200,47.22091122472869,54.606760785957405,-92.20753305594762,12.225817828225523,51.71980002,53.00092985648825,49.738399959999995,48.93284810888605,1.4427045329996204,56.497499700000006,1.75,1.6998971855690859,1.726650094568714,58.509998
2014-01-21,56.599998,58.580002,56.5,58.509998,48669200,62.094918692061356,61.42572900582064,83.95882060078735,70.06488431375861,51.9076,53.21697711990034,49.92709995,49.12344585988237,1.4805539923135385,56.67049965,2.2800030000000007,1.7827694447735023,1.7661753022164521,57.509998
